train_id,fitness_days_remaining,job_card_status,current_mileage_km,branding_contract_status,branding_penalty_risk_lakh,cleaning_status,depot_track,last_induction_date,total_score,status,rejection_reason,explanation,fitness_score,maintenance_score,mileage_score,branding_score,cleaning_score,depot_score
T08,66,MINOR,127750,HIGH,9.46,DONE,A8,2025-11-01,88.3,ELIGIBLE,,Overall score 88.3/100. Key factors: branding contract is in HIGH urgency band; mileage close to fleet average; located on A-track (low shunting cost); cleaning completed within last cycle; only MINOR job card issues open.,96,70,80,100,100,100
T03,62,CLEAR,131946,NONE,0.0,DONE,A3,2025-11-07,88.0,ELIGIBLE,,Overall score 88.0/100. Key factors: no active branding contract (neutral); mileage close to fleet average; located on A-track (low shunting cost); cleaning completed within last cycle; no open job cards.,95,100,80,50,100,100
T25,75,CLEAR,127302,LOW,2.89,DONE,A1,2025-10-24,87.1,ELIGIBLE,,Overall score 87.1/100. Key factors: branding contract has LOW urgency; mileage close to fleet average; located on A-track (low shunting cost); cleaning completed within last cycle; no open job cards.,97,100,80,40,100,100
T02,74,CLEAR,131205,LOW,2.09,DONE,A2,2025-11-16,87.1,ELIGIBLE,,Overall score 87.1/100. Key factors: branding contract has LOW urgency; mileage close to fleet average; located on A-track (low shunting cost); cleaning completed within last cycle; no open job cards.,97,100,80,40,100,100
T15,68,CLEAR,114343,MEDIUM,3.89,DONE,B3,2025-10-25,86.89999999999999,ELIGIBLE,,Overall score 86.9/100. Key factors: branding contract has MEDIUM urgency; underutilized mileage (boosted to balance fleet wear); located on B-track (requires shunting); cleaning completed within last cycle; no open job cards.,96,100,84,70,100,0
T13,70,CLEAR,128313,MEDIUM,3.14,DONE,B1,2025-11-16,86.3,ELIGIBLE,,Overall score 86.3/100. Key factors: branding contract has MEDIUM urgency; mileage close to fleet average; located on B-track (requires shunting); cleaning completed within last cycle; no open job cards.,96,100,80,70,100,0
T24,88,CLEAR,123321,NONE,0.0,DONE,B12,2025-11-17,84.2,ELIGIBLE,,Overall score 84.2/100. Key factors: no active branding contract (neutral); mileage close to fleet average; located on B-track (requires shunting); cleaning completed within last cycle; no open job cards.,99,100,80,50,100,0
T14,73,CLEAR,131050,LOW,0.9,DONE,B2,2025-11-13,82.1,ELIGIBLE,,Overall score 82.1/100. Key factors: branding contract has LOW urgency; mileage close to fleet average; located on B-track (requires shunting); cleaning completed within last cycle; no open job cards.,97,100,80,40,100,0
T12,93,MINOR,126541,NONE,0.0,DONE,A12,2025-10-29,82.0,ELIGIBLE,,Overall score 82.0/100. Key factors: no active branding contract (neutral); mileage close to fleet average; located on A-track (low shunting cost); cleaning completed within last cycle; only MINOR job card issues open.,100,70,80,50,100,100
T22,35,CLEAR,133746,MEDIUM,2.35,DONE,B10,2025-11-13,81.8,ELIGIBLE,,Overall score 81.8/100. Key factors: branding contract has MEDIUM urgency; overutilized mileage (slightly deprioritized); located on B-track (requires shunting); cleaning completed within last cycle; no open job cards.,82,100,78,70,100,0
